,VaR0,VaR1,$|VaR_2 - VaR_1|$,Max VaR,NetLoss0,NetLoss1,$|L_2 - L_1|$,$P(L > Q(0.6))$,Required Capital,Payout CVaR,Average Cost,Payout Cost,a_1,a_2,b_1,b_2
406,5.80,5.68,0.11,5.80,4.86,4.65,0.21,0.00,6.06,11.24,6.09,518.02,0.86,0.88,-3.98,-3.99
407,6.55,6.99,0.44,6.99,5.52,5.86,0.34,0.07,6.23,9.67,4.38,344.69,0.78,0.80,-4.14,-4.35
408,5.31,5.47,0.16,5.47,4.41,4.48,0.07,0.02,9.34,15.26,7.32,591.86,0.86,0.89,-3.36,-3.55
409,5.64,6.26,0.62,6.26,4.77,5.22,0.44,0.03,5.81,10.75,5.81,493.47,0.85,0.82,-3.90,-3.86
410,5.99,5.93,0.06,5.99,5.07,5.05,0.02,0.01,6.56,11.49,5.92,493.40,0.90,0.84,-4.38,-3.99
411,5.22,5.37,0.14,5.37,4.18,4.39,0.21,0.00,6.99,13.40,7.45,640.54,0.84,0.89,-3.24,-3.62
412,5.96,6.19,0.23,6.19,5.08,5.16,0.08,0.01,5.00,9.65,5.40,464.88,0.88,0.85,-4.31,-4.05
413,4.97,5.31,0.34,5.31,4.13,4.33,0.20,0.00,8.27,14.21,7.18,594.17,0.93,0.90,-3.79,-3.58
414,5.47,5.49,0.02,5.49,4.66,4.51,0.16,0.00,5.57,11.57,6.84,600.14,0.82,0.89,-3.25,-3.72
415,6.37,6.35,0.02,6.37,5.42,5.41,0.01,0.00,5.92,10.58,5.55,465.97,0.88,0.84,-4.45,-4.21
416,5.48,5.30,0.19,5.48,4.39,4.46,0.07,0.00,5.90,11.86,6.85,596.14,0.85,0.88,-3.38,-3.53
417,6.17,6.84,0.67,6.84,5.26,5.85,0.59,0.02,6.19,10.18,4.92,399.23,0.87,0.84,-4.67,-4.61
418,7.20,6.87,0.33,7.20,6.15,6.02,0.14,0.06,5.79,9.33,4.41,354.51,0.75,0.79,-4.21,-4.34
419,6.71,6.71,0.00,6.71,5.86,5.59,0.27,0.01,7.26,11.04,4.87,377.78,0.77,0.83,-3.96,-4.59
420,5.88,5.83,0.06,5.88,4.99,4.89,0.11,0.03,7.30,12.24,6.04,494.39,0.89,0.83,-4.24,-3.76
421,5.81,5.78,0.03,5.81,4.91,4.95,0.03,0.01,6.65,11.93,6.28,528.23,0.84,0.89,-3.66,-3.99
422,5.61,5.34,0.26,5.61,4.55,4.49,0.06,0.00,6.99,12.89,6.95,589.93,0.91,0.92,-3.74,-3.87
423,5.62,5.18,0.44,5.62,4.70,4.42,0.28,0.00,6.60,12.14,6.53,554.11,0.81,0.85,-3.34,-3.57
424,5.73,5.67,0.06,5.73,4.60,4.63,0.03,0.00,8.52,14.66,7.42,614.00,0.86,0.87,-3.56,-3.78
425,5.55,5.60,0.05,5.60,4.48,4.55,0.06,0.00,6.77,12.67,6.92,590.10,0.86,0.84,-3.48,-3.52
426,5.70,5.30,0.40,5.70,4.68,4.46,0.22,0.00,4.75,11.21,7.17,645.88,0.90,0.80,-3.73,-2.98
427,7.04,6.61,0.43,7.04,6.01,5.72,0.29,0.02,5.20,9.03,4.61,382.91,0.78,0.82,-4.26,-4.64
428,5.85,6.47,0.62,6.47,5.05,5.51,0.46,0.03,7.17,11.42,5.33,425.03,0.81,0.86,-3.84,-4.60
429,6.29,6.08,0.21,6.29,5.30,5.03,0.27,0.00,5.52,10.53,5.84,501.29,0.84,0.84,-4.12,-4.15
430,6.32,6.10,0.22,6.32,5.49,5.25,0.24,0.00,5.36,9.97,5.41,460.50,0.84,0.83,-4.22,-4.04
431,5.37,5.66,0.28,5.66,4.62,4.80,0.18,0.00,5.43,11.40,6.79,597.16,0.87,0.91,-3.66,-3.87
432,6.15,5.73,0.41,6.15,5.16,4.95,0.21,0.01,5.49,10.82,6.15,532.49,0.81,0.82,-3.64,-3.71
433,5.36,5.39,0.03,5.39,4.58,4.62,0.04,0.00,6.14,12.20,6.98,606.40,0.85,0.89,-3.35,-3.76
434,5.30,5.31,0.02,5.31,4.28,4.46,0.18,0.00,8.07,14.07,7.21,599.66,0.83,0.89,-3.09,-3.60
435,5.87,5.66,0.21,5.87,5.07,4.65,0.42,0.00,5.62,11.05,6.28,543.42,0.85,0.78,-3.86,-3.20
436,6.02,5.89,0.13,6.02,5.09,5.02,0.06,0.02,6.70,11.54,5.84,483.43,0.81,0.83,-3.61,-3.86
437,5.57,5.62,0.04,5.62,4.74,4.67,0.07,0.01,5.92,11.74,6.70,581.23,0.87,0.88,-3.78,-3.89
438,6.86,6.72,0.14,6.86,5.72,5.85,0.13,0.06,5.23,8.22,3.78,299.00,0.78,0.80,-4.30,-4.67
439,6.00,6.22,0.21,6.22,5.17,5.30,0.13,0.02,5.33,9.76,5.22,442.30,0.80,0.80,-3.89,-4.00
440,5.13,5.24,0.12,5.24,4.20,4.49,0.29,0.00,6.57,12.73,7.14,615.59,0.88,0.91,-3.40,-3.74
441,6.04,5.84,0.20,6.04,5.01,4.84,0.17,0.00,8.39,12.96,5.83,457.26,0.86,0.89,-4.09,-4.40
442,6.35,6.39,0.04,6.39,5.31,5.40,0.08,0.02,4.21,8.68,5.10,446.48,0.81,0.84,-3.89,-4.27
443,5.15,5.43,0.28,5.43,4.47,4.56,0.09,0.01,6.19,12.20,6.94,600.86,0.85,0.89,-3.35,-3.80
444,6.08,5.92,0.16,6.08,5.01,5.24,0.22,0.00,6.78,11.69,5.93,491.05,0.85,0.83,-3.91,-3.90
445,6.14,6.24,0.10,6.24,5.27,5.21,0.06,0.04,5.42,9.50,4.90,408.38,0.87,0.82,-4.41,-4.26
446,6.45,6.13,0.32,6.45,5.44,5.10,0.34,0.00,6.60,11.32,5.71,472.11,0.90,0.84,-4.49,-4.01
447,5.32,4.84,0.49,5.32,4.36,4.16,0.20,0.00,4.20,10.60,7.03,640.18,0.88,0.85,-3.43,-3.16
448,5.47,5.20,0.27,5.47,4.30,4.49,0.19,0.00,5.87,12.00,7.02,613.51,0.84,0.88,-3.22,-3.65
449,5.44,5.72,0.28,5.72,4.40,4.69,0.29,0.00,6.75,12.57,6.83,581.94,0.85,0.85,-3.41,-3.51
450,5.91,5.77,0.13,5.91,5.10,4.88,0.22,0.00,5.47,10.31,5.66,484.40,0.86,0.87,-4.06,-4.17
451,5.81,5.82,0.01,5.82,4.91,4.86,0.05,0.01,7.86,12.49,5.81,463.35,0.85,0.81,-4.02,-3.60
452,6.04,5.79,0.25,6.04,5.18,4.84,0.34,0.00,6.97,12.07,6.14,509.79,0.91,0.85,-4.42,-3.90
453,5.36,5.48,0.12,5.48,4.42,4.45,0.03,0.00,7.73,14.13,7.56,640.34,0.93,0.83,-3.73,-3.03
454,5.45,5.68,0.22,5.68,4.59,4.79,0.20,0.00,6.57,12.42,6.83,584.89,0.89,0.92,-3.77,-4.05
455,5.98,6.54,0.56,6.54,5.07,5.48,0.41,0.00,4.67,9.84,5.88,517.64,0.84,0.88,-4.00,-4.38
456,5.37,5.22,0.15,5.37,4.39,4.44,0.05,0.00,6.34,12.55,7.16,621.12,0.86,0.88,-3.44,-3.77
457,5.69,6.03,0.34,6.03,4.74,5.09,0.35,0.00,5.94,11.33,6.28,539.46,0.85,0.83,-3.66,-3.62
458,5.19,5.31,0.12,5.31,4.39,4.42,0.03,0.00,6.07,12.34,7.19,627.70,0.89,0.86,-3.60,-3.30
459,5.25,5.55,0.30,5.55,4.51,4.64,0.14,0.00,7.50,13.69,7.31,618.50,0.88,0.86,-3.65,-3.45
460,6.40,6.38,0.02,6.40,5.39,5.49,0.10,0.02,5.84,10.41,5.44,456.36,0.87,0.86,-4.36,-4.27
461,6.09,5.74,0.35,6.09,4.98,4.91,0.07,0.00,5.20,10.43,6.01,522.93,0.91,0.85,-4.34,-3.85
462,6.06,6.27,0.21,6.27,4.99,5.13,0.13,0.00,5.46,10.35,5.71,489.49,0.84,0.80,-4.05,-3.68
463,6.20,6.60,0.40,6.60,5.34,5.53,0.18,0.02,7.71,11.82,5.26,410.47,0.82,0.88,-4.06,-4.79
464,6.91,7.59,0.68,7.59,5.83,6.17,0.34,0.11,4.76,7.85,3.80,308.73,0.80,0.73,-4.55,-4.06
465,5.37,5.59,0.22,5.59,4.31,4.58,0.27,0.00,6.49,12.85,7.34,636.57,0.87,0.87,-3.38,-3.47
466,6.22,5.82,0.40,6.22,5.18,4.85,0.33,0.00,6.17,11.40,6.15,522.95,0.83,0.93,-3.79,-4.49
467,5.24,5.32,0.08,5.32,4.43,4.38,0.05,0.00,4.19,10.54,6.98,634.69,0.93,0.85,-4.05,-3.43
468,6.51,6.47,0.04,6.51,5.42,5.52,0.11,0.00,7.40,11.89,5.60,449.26,0.81,0.85,-4.04,-4.44
469,5.99,5.67,0.32,5.99,5.01,4.65,0.36,0.00,6.43,11.89,6.42,545.92,0.85,0.86,-3.85,-3.81
470,5.32,5.20,0.12,5.32,4.42,4.42,0.01,0.00,6.29,12.24,6.89,595.07,0.86,0.84,-3.45,-3.32
471,5.68,5.29,0.39,5.68,4.55,4.51,0.04,0.00,6.84,12.74,6.92,589.86,0.87,0.88,-3.74,-3.71
472,6.95,7.00,0.05,7.00,5.77,5.99,0.22,0.08,4.89,7.74,3.59,285.20,0.75,0.71,-4.41,-3.97
473,5.62,5.05,0.57,5.62,4.73,4.26,0.47,0.00,6.65,12.65,6.99,599.58,0.88,0.91,-3.75,-3.87
474,5.36,5.34,0.02,5.36,4.51,4.44,0.07,0.00,6.58,12.18,6.59,560.36,0.95,0.82,-4.31,-3.19
475,5.87,6.06,0.19,6.06,5.02,5.24,0.21,0.04,6.39,10.88,5.45,449.27,0.86,0.85,-4.08,-4.11
476,5.90,6.02,0.12,6.02,4.87,4.99,0.12,0.01,5.70,10.56,5.72,486.09,0.82,0.85,-3.49,-3.78
477,6.41,5.99,0.42,6.41,5.48,5.09,0.40,0.01,7.09,11.42,5.39,433.06,0.86,0.90,-4.47,-4.53
478,6.92,6.90,0.03,6.92,5.84,6.01,0.16,0.02,4.44,7.89,4.11,344.22,0.77,0.82,-4.23,-4.65
479,5.70,5.45,0.25,5.70,4.98,4.52,0.46,0.00,5.56,11.12,6.40,556.18,0.88,0.78,-3.75,-2.94
480,6.53,5.94,0.59,6.53,5.37,5.01,0.37,0.00,7.01,11.50,5.55,449.47,0.84,0.84,-4.24,-4.11
481,5.89,5.69,0.19,5.89,4.96,5.04,0.07,0.04,7.93,12.88,6.15,495.86,0.84,0.88,-3.93,-4.17
482,6.78,6.95,0.17,6.95,5.82,5.86,0.05,0.07,4.76,8.12,4.08,336.15,0.78,0.77,-4.45,-4.33
483,6.34,6.56,0.22,6.56,5.51,5.54,0.03,0.06,5.14,8.77,4.40,362.62,0.84,0.80,-4.51,-4.20
484,6.35,6.30,0.05,6.35,5.35,5.48,0.13,0.01,4.18,8.64,5.09,446.42,0.80,0.84,-4.05,-4.31
485,7.07,6.88,0.19,7.07,5.87,5.87,0.00,0.06,7.15,10.65,4.57,349.89,0.79,0.84,-4.43,-4.89
486,5.11,5.28,0.17,5.28,4.18,4.63,0.45,0.00,5.48,11.41,6.75,593.02,0.85,0.86,-3.22,-3.45
487,6.82,6.91,0.08,6.91,5.88,5.78,0.11,0.03,6.04,9.27,4.13,322.75,0.79,0.81,-4.46,-4.67
488,6.10,5.86,0.24,6.10,5.05,4.87,0.18,0.00,5.54,10.81,6.10,527.05,0.87,0.87,-3.99,-3.96
489,5.33,4.85,0.49,5.33,4.52,4.12,0.41,0.00,6.96,13.29,7.38,633.24,0.86,0.83,-3.41,-2.85
490,6.01,5.96,0.05,6.01,5.07,4.96,0.11,0.00,6.69,11.69,6.00,500.02,0.85,0.84,-3.98,-3.88
491,6.24,5.83,0.41,6.24,5.26,5.01,0.24,0.00,6.31,11.44,6.07,512.72,0.81,0.86,-3.71,-4.11
492,5.60,6.00,0.40,6.00,4.64,4.84,0.20,0.01,6.19,11.73,6.47,553.99,0.86,0.78,-3.63,-3.13
493,6.51,6.66,0.14,6.66,5.62,5.35,0.27,0.00,5.16,8.75,4.37,359.17,0.86,0.80,-4.71,-4.16
494,5.81,5.70,0.11,5.81,4.86,4.64,0.22,0.00,7.01,12.35,6.39,533.64,0.86,0.86,-3.82,-3.85
495,6.20,6.40,0.20,6.40,5.31,5.37,0.06,0.01,6.88,11.23,5.39,435.34,0.82,0.86,-4.00,-4.32
496,5.32,5.02,0.30,5.32,4.50,4.26,0.24,0.01,5.23,11.36,6.91,612.69,0.88,0.80,-3.54,-2.85
497,6.15,6.49,0.34,6.49,5.13,5.37,0.24,0.02,5.27,9.23,4.75,396.04,0.86,0.87,-4.26,-4.44
498,6.06,6.39,0.33,6.39,5.05,5.51,0.46,0.03,8.18,12.87,5.92,469.10,0.84,0.85,-4.08,-4.29
499,6.31,6.87,0.56,6.87,5.40,5.61,0.20,0.05,4.92,8.54,4.36,362.49,0.81,0.81,-4.16,-4.28
500,5.38,5.16,0.22,5.38,4.47,4.35,0.11,0.00,5.77,12.51,7.61,674.01,0.87,0.85,-3.46,-3.26
501,5.95,5.76,0.20,5.95,4.97,4.94,0.03,0.07,7.01,11.46,5.50,445.38,0.83,0.83,-3.90,-3.87
502,6.85,6.94,0.09,6.94,6.12,6.07,0.05,0.14,6.36,9.73,4.32,336.63,0.78,0.83,-4.55,-4.82
503,6.71,7.04,0.33,7.04,5.64,5.97,0.33,0.08,4.22,7.19,3.60,296.88,0.84,0.75,-4.90,-4.18
504,6.61,6.26,0.34,6.61,5.52,5.50,0.02,0.01,5.44,9.44,4.81,399.28,0.86,0.77,-4.72,-3.88
505,5.84,5.86,0.01,5.86,5.07,5.12,0.04,0.02,7.42,12.55,6.23,512.09,0.87,0.88,-4.28,-4.21
506,5.62,5.60,0.02,5.62,4.64,4.82,0.19,0.00,6.61,12.31,6.69,569.98,0.85,0.89,-3.48,-3.91
507,5.63,5.87,0.24,5.87,4.67,4.97,0.30,0.00,6.37,11.46,6.04,508.31,0.82,0.89,-3.51,-4.15
508,5.54,5.82,0.28,5.82,4.69,4.84,0.16,0.01,5.58,10.39,5.65,481.45,0.87,0.82,-4.01,-3.80
509,5.46,5.54,0.08,5.54,4.63,4.64,0.01,0.02,5.43,10.95,6.34,552.13,0.86,0.87,-3.72,-3.67
510,6.38,5.75,0.63,6.38,5.20,4.81,0.40,0.00,6.13,11.53,6.32,539.90,0.87,0.84,-3.99,-3.79
511,5.37,5.61,0.24,5.61,4.52,4.79,0.27,0.00,5.94,11.58,6.53,564.29,0.82,0.94,-3.25,-4.38
512,6.64,6.55,0.09,6.64,5.56,5.77,0.21,0.06,7.70,11.33,4.79,363.32,0.77,0.82,-3.89,-4.39
513,6.14,6.23,0.09,6.23,5.05,5.21,0.16,0.01,7.67,12.35,5.83,467.70,0.78,0.85,-3.60,-4.26
514,6.24,6.23,0.01,6.24,5.03,5.10,0.07,0.01,5.82,10.47,5.53,465.23,0.85,0.76,-3.95,-3.32
515,5.65,5.86,0.21,5.86,4.85,5.02,0.16,0.00,5.65,11.01,6.21,536.13,0.84,0.86,-3.81,-4.02
516,6.09,5.85,0.24,6.09,5.18,5.08,0.10,0.01,4.70,9.06,5.06,435.80,0.81,0.79,-3.85,-3.69
517,6.63,6.89,0.26,6.89,5.47,5.77,0.31,0.08,6.19,9.65,4.39,346.14,0.71,0.83,-3.47,-4.51
518,5.20,5.59,0.39,5.59,4.38,4.49,0.11,0.00,6.45,12.48,7.00,603.19,0.93,0.89,-3.95,-3.61
519,6.18,6.26,0.08,6.26,5.31,5.36,0.06,0.04,5.58,9.80,5.06,422.83,0.85,0.80,-4.28,-3.88
520,5.33,4.89,0.44,5.33,4.39,4.21,0.17,0.00,6.50,12.69,7.16,618.62,0.86,0.87,-3.39,-3.35
521,5.93,6.20,0.28,6.20,5.04,5.12,0.09,0.00,6.23,10.50,5.20,426.38,0.85,0.84,-4.15,-4.16
522,5.47,5.82,0.35,5.82,4.72,4.69,0.03,0.00,5.52,11.44,6.75,592.06,0.80,0.85,-3.04,-3.53
523,5.75,5.81,0.07,5.81,4.82,4.62,0.20,0.00,5.99,11.12,6.03,513.20,0.81,0.91,-3.40,-4.21
524,7.17,6.72,0.45,7.17,5.79,5.87,0.09,0.09,7.11,10.82,4.77,370.37,0.83,0.82,-4.72,-4.54
525,5.82,6.07,0.25,6.07,4.88,4.94,0.06,0.00,5.54,10.95,6.25,541.63,0.86,0.85,-3.96,-3.82
526,6.44,6.15,0.30,6.44,5.43,5.30,0.13,0.01,5.63,9.90,5.11,426.92,0.88,0.83,-4.75,-4.18
527,5.74,5.77,0.03,5.77,4.98,4.94,0.04,0.00,5.64,10.28,5.48,463.82,0.93,0.86,-4.79,-3.98
528,5.98,6.10,0.12,6.10,5.10,4.93,0.17,0.02,6.64,10.86,5.22,422.00,0.85,0.83,-4.33,-4.14
529,6.34,6.18,0.17,6.34,5.46,5.20,0.25,0.00,6.26,11.36,6.04,510.35,0.87,0.82,-4.45,-3.79
530,6.23,6.00,0.23,6.23,5.25,5.19,0.07,0.00,5.32,10.37,5.85,505.05,0.80,0.80,-3.64,-3.69
531,5.73,5.65,0.08,5.73,4.73,4.65,0.07,0.00,5.83,11.34,6.38,550.18,0.84,0.88,-3.51,-3.81
532,6.20,6.38,0.18,6.38,5.16,5.19,0.03,0.03,5.06,9.21,4.91,414.68,0.81,0.83,-4.04,-4.16
533,5.87,6.03,0.16,6.03,4.87,4.99,0.12,0.00,5.64,10.69,5.90,505.43,0.84,0.83,-3.60,-3.73
534,6.59,6.24,0.36,6.59,5.38,5.42,0.03,0.03,6.31,10.61,5.24,429.45,0.78,0.86,-3.84,-4.50
535,5.55,5.90,0.35,5.90,4.81,5.05,0.24,0.00,6.68,11.60,5.92,491.34,0.86,0.88,-3.91,-4.18
536,6.85,6.87,0.02,6.87,5.80,5.91,0.10,0.09,6.94,10.53,4.63,358.97,0.79,0.80,-4.34,-4.38
537,5.02,5.72,0.70,5.72,4.20,4.80,0.60,0.00,5.64,11.62,6.83,598.02,0.84,0.88,-3.14,-3.72
538,6.33,6.48,0.15,6.48,5.33,5.35,0.02,0.01,6.02,10.30,5.18,428.11,0.77,0.80,-3.62,-3.94
539,5.32,5.78,0.45,5.78,4.44,4.66,0.22,0.00,8.31,14.18,7.12,587.28,0.84,0.93,-3.52,-4.09
540,6.32,6.08,0.24,6.32,5.28,5.15,0.14,0.00,5.60,10.33,5.57,472.87,0.82,0.85,-3.99,-4.13
541,5.99,5.96,0.02,5.99,5.08,4.97,0.11,0.02,6.75,11.34,5.60,459.19,0.86,0.86,-4.24,-4.17
542,6.17,6.21,0.04,6.21,5.00,5.17,0.17,0.01,6.41,10.75,5.30,433.83,0.88,0.88,-4.34,-4.43
543,5.34,5.22,0.12,5.34,4.49,4.42,0.06,0.00,7.28,13.28,7.09,599.60,0.80,0.86,-3.03,-3.66
544,6.42,6.37,0.04,6.42,5.36,5.34,0.03,0.02,5.56,9.71,4.99,415.11,0.85,0.82,-4.33,-4.04
545,5.77,5.38,0.40,5.77,4.96,4.61,0.35,0.00,5.33,10.85,6.32,551.89,0.87,0.89,-3.96,-4.17
546,6.12,6.45,0.33,6.45,5.22,5.33,0.11,0.01,4.73,8.71,4.70,398.86,0.83,0.81,-4.16,-4.08
547,4.88,5.19,0.31,5.19,4.22,4.28,0.06,0.00,6.55,13.40,7.83,684.71,0.87,0.89,-3.21,-3.40
548,5.97,6.03,0.06,6.03,5.00,5.09,0.09,0.00,4.66,9.87,5.91,521.12,0.82,0.83,-3.60,-3.70
549,6.15,6.25,0.10,6.25,5.16,5.31,0.15,0.01,5.76,10.81,5.92,505.33,0.84,0.83,-4.00,-3.88
550,6.74,6.93,0.19,6.93,5.65,5.82,0.17,0.13,6.50,9.93,4.41,343.29,0.80,0.83,-4.46,-4.78
551,6.30,6.25,0.05,6.30,5.38,5.17,0.21,0.02,7.83,12.02,5.36,418.28,0.86,0.82,-4.34,-3.90
552,5.13,5.46,0.33,5.46,4.21,4.42,0.22,0.00,4.77,11.03,6.98,626.43,0.86,0.89,-3.23,-3.60
553,5.53,5.58,0.05,5.58,4.66,4.78,0.11,0.01,5.64,11.17,6.37,552.59,0.87,0.80,-3.90,-3.31
554,6.31,6.90,0.59,6.90,5.42,5.95,0.53,0.12,5.71,9.39,4.53,367.39,0.81,0.79,-4.23,-4.28
555,6.07,6.08,0.02,6.08,5.15,5.10,0.05,0.02,5.94,10.77,5.72,483.08,0.89,0.85,-4.56,-4.19
556,5.27,5.11,0.17,5.27,4.47,4.36,0.11,0.00,5.65,12.55,7.75,690.43,0.87,0.86,-3.50,-3.40
557,6.51,6.63,0.13,6.63,5.53,5.54,0.01,0.05,5.47,8.89,4.25,342.52,0.76,0.76,-3.92,-3.98
558,5.95,5.90,0.05,5.95,4.98,4.85,0.13,0.01,6.49,11.58,6.07,509.47,0.82,0.87,-3.59,-4.02
559,6.44,6.21,0.23,6.44,5.44,5.23,0.20,0.00,9.03,13.83,6.16,480.09,0.89,0.84,-4.53,-4.07
560,5.35,5.46,0.11,5.46,4.42,4.53,0.11,0.00,7.13,13.54,7.48,641.16,0.89,0.86,-3.64,-3.49
561,6.30,6.08,0.22,6.30,5.31,5.09,0.21,0.00,5.91,11.38,6.36,547.63,0.84,0.82,-3.90,-3.67
562,6.78,7.11,0.33,7.11,5.89,6.10,0.21,0.03,6.49,10.40,4.88,390.38,0.85,0.81,-4.76,-4.45
563,6.38,6.06,0.32,6.38,5.20,5.14,0.06,0.02,6.96,12.24,6.32,527.62,0.82,0.81,-3.79,-3.77
564,5.44,5.19,0.25,5.44,4.38,4.43,0.06,0.00,5.20,11.46,7.04,626.12,0.80,0.89,-2.94,-3.66
565,5.30,5.40,0.10,5.40,4.54,4.44,0.10,0.00,6.15,12.21,6.98,606.08,0.91,0.87,-3.83,-3.55
566,5.29,5.06,0.23,5.29,4.48,4.27,0.21,0.00,7.34,13.16,6.93,582.60,0.86,0.89,-3.57,-3.83
567,6.50,5.97,0.53,6.50,5.42,5.17,0.24,0.00,5.99,10.57,5.47,457.52,0.81,0.85,-3.98,-4.18
568,5.54,5.77,0.24,5.77,4.65,4.89,0.25,0.01,6.44,11.87,6.40,543.76,0.89,0.87,-4.04,-3.83
569,6.43,6.56,0.13,6.56,5.45,5.53,0.07,0.01,7.90,11.82,5.10,391.74,0.81,0.81,-4.27,-4.30
570,6.12,5.97,0.15,6.12,5.25,5.13,0.12,0.02,5.38,10.47,5.90,509.52,0.88,0.82,-4.22,-3.80
571,5.99,6.25,0.26,6.25,5.03,5.30,0.27,0.01,4.95,9.28,5.07,432.28,0.85,0.82,-3.99,-3.93
572,6.06,6.16,0.10,6.16,5.09,5.24,0.14,0.03,6.41,11.41,5.96,499.90,0.84,0.79,-4.10,-3.74
573,7.25,6.70,0.55,7.25,6.13,5.73,0.39,0.04,4.43,7.49,3.72,305.74,0.80,0.74,-4.63,-4.04
574,6.23,6.24,0.02,6.24,5.28,5.33,0.04,0.01,4.87,9.30,5.16,443.43,0.80,0.88,-3.85,-4.59
575,6.62,6.86,0.24,6.86,5.70,5.65,0.04,0.03,4.65,8.03,4.08,338.28,0.83,0.76,-4.62,-4.14
576,5.95,5.78,0.18,5.95,5.07,4.72,0.35,0.00,6.90,12.30,6.43,539.83,0.82,0.86,-3.59,-3.94
577,5.59,5.73,0.14,5.73,4.80,4.91,0.11,0.00,6.91,12.80,6.93,588.96,0.87,0.86,-3.90,-3.83
578,6.45,6.68,0.22,6.68,5.38,5.63,0.25,0.07,6.69,10.54,4.85,384.73,0.79,0.79,-4.20,-3.94
579,5.39,4.91,0.48,5.39,4.32,4.26,0.07,0.00,5.50,11.68,7.01,618.10,0.94,0.86,-4.08,-3.36
580,5.96,5.46,0.50,5.96,4.96,4.62,0.34,0.00,6.00,11.43,6.33,543.35,0.85,0.88,-3.85,-4.04
581,6.95,7.14,0.19,7.14,6.09,6.13,0.04,0.04,6.16,9.69,4.45,352.80,0.81,0.74,-4.64,-4.11
582,5.32,5.22,0.10,5.32,4.39,4.20,0.19,0.00,6.58,12.96,7.37,637.96,0.91,0.78,-3.73,-2.67
583,5.01,5.27,0.26,5.27,4.18,4.34,0.16,0.01,5.45,11.68,7.05,623.61,0.84,0.87,-3.05,-3.43
584,5.56,5.45,0.11,5.56,4.80,4.45,0.35,0.00,6.09,11.61,6.44,552.17,0.89,0.89,-3.86,-3.81
585,5.65,5.78,0.13,5.78,4.61,4.87,0.26,0.00,7.67,13.33,6.81,565.88,0.92,0.87,-4.33,-3.97
586,5.66,5.81,0.15,5.81,4.88,4.81,0.06,0.00,5.07,10.66,6.35,558.53,0.82,0.79,-3.46,-3.23
587,5.61,5.54,0.07,5.61,4.56,4.69,0.13,0.00,5.77,11.24,6.34,547.74,0.86,0.82,-3.61,-3.45
588,6.62,6.37,0.25,6.62,5.47,5.47,0.00,0.04,5.70,10.00,5.15,429.37,0.76,0.88,-3.68,-4.56
589,5.49,5.78,0.29,5.78,4.55,4.83,0.29,0.00,5.56,11.70,6.97,613.66,0.88,0.85,-3.77,-3.52
590,7.49,7.13,0.36,7.49,6.38,6.07,0.31,0.07,5.29,8.70,4.20,340.71,0.76,0.75,-4.45,-4.30
591,6.45,6.44,0.01,6.45,5.55,5.40,0.14,0.02,5.72,10.08,5.22,436.54,0.83,0.80,-4.13,-3.84
592,5.63,5.63,0.01,5.63,4.59,4.80,0.20,0.00,5.26,10.77,6.30,551.03,0.86,0.89,-3.66,-3.96
593,5.64,5.81,0.17,5.81,4.81,4.90,0.09,0.00,5.22,10.80,6.37,558.74,0.84,0.88,-3.61,-3.97
594,5.71,6.15,0.44,6.15,4.81,4.98,0.17,0.00,5.34,9.92,5.38,458.12,0.79,0.85,-3.56,-4.10
595,6.24,6.11,0.13,6.24,5.25,5.13,0.12,0.01,6.08,10.47,5.30,439.31,0.82,0.80,-3.99,-3.80
596,6.92,6.73,0.20,6.92,5.88,5.69,0.20,0.05,8.72,11.87,4.46,315.24,0.86,0.76,-4.97,-4.13
597,5.37,5.14,0.24,5.37,4.52,4.35,0.17,0.00,6.82,12.45,6.65,562.43,0.94,0.88,-4.11,-3.66
598,5.33,5.47,0.13,5.47,4.52,4.57,0.05,0.00,7.48,13.24,6.88,576.21,0.88,0.90,-3.84,-3.88
599,7.25,6.81,0.44,7.25,5.92,5.79,0.12,0.02,6.34,9.50,4.10,315.27,0.80,0.79,-4.46,-4.45
600,5.26,4.94,0.32,5.26,4.43,4.24,0.19,0.00,7.77,13.56,6.96,579.49,0.89,0.86,-3.55,-3.31
601,5.89,6.01,0.12,6.01,5.00,5.08,0.08,0.01,5.83,10.42,5.47,459.29,0.87,0.86,-4.31,-4.21
602,5.95,5.93,0.02,5.95,4.96,5.00,0.05,0.00,7.31,12.53,6.32,522.10,0.87,0.84,-4.12,-3.86
603,5.59,5.24,0.35,5.59,4.62,4.42,0.19,0.00,4.70,10.22,6.22,551.57,0.83,0.83,-3.54,-3.33
604,6.22,5.80,0.42,6.22,5.19,5.10,0.10,0.00,7.26,11.76,5.59,449.91,0.86,0.84,-4.22,-3.97
605,5.64,6.00,0.36,6.00,4.79,5.09,0.30,0.01,5.82,10.99,6.04,516.53,0.84,0.79,-3.77,-3.64
606,6.33,6.18,0.15,6.33,5.22,5.19,0.04,0.00,5.56,10.09,5.36,453.05,0.83,0.85,-4.06,-4.26
607,5.14,5.18,0.03,5.18,4.45,4.38,0.07,0.00,6.50,12.87,7.35,637.14,0.83,0.91,-3.30,-3.86
608,5.76,5.69,0.07,5.76,4.75,4.88,0.14,0.00,6.11,11.52,6.32,540.68,0.88,0.91,-3.91,-4.31
609,6.47,5.98,0.49,6.47,5.26,5.05,0.20,0.00,4.69,9.13,5.15,444.55,0.78,0.85,-3.66,-4.12
